escenario;algoritmo;ms;us;ns;comparaciones;intercambios;n;semilla
Aleatorio;QuickSort;0;200;200000;15700;3761;1000;532021552
Aleatorio;HeapSort;0;241;241900;16878;9111;1000;532021552
Ascendente;QuickSort;2;2929;2929300;499500;0;1000;532021552
Ascendente;HeapSort;0;231;231200;17583;9708;1000;532021552
Descendente;QuickSort;2;2976;2976400;500000;500;1000;532021552
Descendente;HeapSort;0;210;210500;15965;8316;1000;532021552
Casi ordenado;QuickSort;0;260;260700;542466;736;1000;532021552
Casi ordenado;HeapSort;0;234;234300;17492;9648;1000;532021552
Duplicados;QuickSort;0;269;269000;39345;1548;1000;532021552
Duplicados;HeapSort;0;225;225500;16142;8528;1000;532021552
escenario;algoritmo;ms;us;ns;comparaciones;intercambios;n;semilla
Aleatorio;QuickSort;0;162;162200;15727;3680;1000;554362052
Aleatorio;HeapSort;0;235;235800;16863;9084;1000;554362052
Ascendente;QuickSort;2;2960;2960600;499500;0;1000;554362052
Ascendente;HeapSort;0;233;233100;17583;9708;1000;554362052
Descendente;QuickSort;3;3054;3054800;500000;500;1000;554362052
Descendente;HeapSort;0;210;210200;15965;8316;1000;554362052
Casi ordenado;QuickSort;0;651;651700;608521;708;1000;554362052
Casi ordenado;HeapSort;0;238;238500;17507;9670;1000;554362052
Duplicados;QuickSort;0;320;320300;45334;1466;1000;554362052
Duplicados;HeapSort;0;240;240300;16211;8546;1000;554362052
escenario;algoritmo;ms;us;ns;comparaciones;intercambios;n;semilla
Aleatorio;QuickSort;0;155;155900;14122;3843;1000;582259852
Aleatorio;HeapSort;0;253;253700;16854;9091;1000;582259852
Ascendente;QuickSort;2;2949;2949400;499500;0;1000;582259852
Ascendente;HeapSort;0;229;229300;17583;9708;1000;582259852
Descendente;QuickSort;2;2922;2922700;500000;500;1000;582259852
Descendente;HeapSort;0;209;209700;15965;8316;1000;582259852
Casi ordenado;QuickSort;0;452;452300;554058;664;1000;582259852
Casi ordenado;HeapSort;0;234;234200;17486;9664;1000;582259852
Duplicados;QuickSort;0;275;275300;40304;1535;1000;582259852
Duplicados;HeapSort;0;222;222700;16227;8535;1000;582259852
escenario;algoritmo;ms;us;ns;comparaciones;intercambios;n;semilla
Aleatorio;QuickSort;2;2125;2125500;207292;52735;10000;600689052
Aleatorio;HeapSort;3;3215;3215000;235288;124171;10000;600689052
Ascendente;QuickSort;295;295076;295076400;49995000;0;10000;600689052
Ascendente;HeapSort;2;2998;2998200;244460;131956;10000;600689052
Descendente;QuickSort;295;295685;295685000;50000000;5000;10000;600689052
Descendente;HeapSort;2;2837;2837300;226682;116696;10000;600689052
Casi ordenado;QuickSort;5;5862;5862900;50882321;8396;10000;600689052
Casi ordenado;HeapSort;3;3043;3043600;243481;130784;10000;600689052
Duplicados;QuickSort;28;28664;28664100;4738598;13485;10000;600689052
Duplicados;HeapSort;2;2990;2990100;217533;112434;10000;600689052
escenario;algoritmo;ms;us;ns;comparaciones;intercambios;n;semilla
Aleatorio;QuickSort;2;2131;2131000;208450;52881;10000;1253299452
Aleatorio;HeapSort;3;3309;3309300;235457;124259;10000;1253299452
Ascendente;QuickSort;297;297819;297819000;49995000;0;10000;1253299452
Ascendente;HeapSort;3;3065;3065400;244460;131956;10000;1253299452
Descendente;QuickSort;296;296605;296605200;50000000;5000;10000;1253299452
Descendente;HeapSort;2;2825;2825300;226682;116696;10000;1253299452
Casi ordenado;QuickSort;5;5233;5233400;50872346;8494;10000;1253299452
Casi ordenado;HeapSort;3;3104;3104300;243575;130804;10000;1253299452
Duplicados;QuickSort;24;24199;24199200;4035296;14093;10000;1253299452
Duplicados;HeapSort;2;2802;2802800;220047;113962;10000;1253299452
escenario;algoritmo;ms;us;ns;comparaciones;intercambios;n;semilla
Aleatorio;QuickSort;2;2123;2123400;204698;53227;10000;1904656452
Aleatorio;HeapSort;3;3233;3233100;235497;124250;10000;1904656452
Ascendente;QuickSort;296;296459;296459600;49995000;0;10000;1904656452
Ascendente;HeapSort;3;3090;3090600;244460;131956;10000;1904656452
Descendente;QuickSort;297;297563;297563800;50000000;5000;10000;1904656452
Descendente;HeapSort;2;2830;2830300;226682;116696;10000;1904656452
Casi ordenado;QuickSort;4;4892;4892100;50809002;8670;10000;1904656452
Casi ordenado;HeapSort;3;3070;3070300;243534;130832;10000;1904656452
Duplicados;QuickSort;21;21932;21932700;3687726;15202;10000;1904656452
Duplicados;HeapSort;2;2822;2822300;220708;114480;10000;1904656452
escenario;algoritmo;ms;us;ns;comparaciones;intercambios;n;semilla
Aleatorio;QuickSort;27;27328;27328900;2641063;689019;100000;2553842052
Aleatorio;HeapSort;41;41670;41670200;3019589;1574740;100000;2553842052
Ascendente;QuickSort;29535;29535328;29535328800;4999950000;0;100000;2553842052
Ascendente;HeapSort;37;37678;37678300;3112517;1650854;100000;2553842052
Descendente;QuickSort;29651;29651592;29651592800;5000000000;50000;100000;2553842052
Descendente;HeapSort;35;35862;35862900;2926640;1497434;100000;2553842052
Casi ordenado;QuickSort;72;72900;72900300;5012098226;100410;100000;2553842052
Casi ordenado;HeapSort;38;38422;38422100;3104181;1642960;100000;2553842052
Duplicados;QuickSort;1340;1340148;1340148900;225527583;169824;100000;2553842052
Duplicados;HeapSort;36;36134;36134400;2905227;1502133;100000;2553842052
escenario;algoritmo;ms;us;ns;comparaciones;intercambios;n;semilla
Aleatorio;QuickSort;27;27678;27678200;2773217;672366;100000;3256391008
Aleatorio;HeapSort;41;41328;41328400;3019720;1575154;100000;3256391008
Ascendente;QuickSort;29656;29656394;29656394200;4999950000;0;100000;3256391008
Ascendente;HeapSort;37;37418;37418500;3112517;1650854;100000;3256391008
Descendente;QuickSort;29547;29547930;29547930600;5000000000;50000;100000;3256391008
Descendente;HeapSort;35;35627;35627000;2926640;1497434;100000;3256391008
Casi ordenado;QuickSort;67;67803;67803400;5011233561;100752;100000;3256391008
Casi ordenado;HeapSort;38;38310;38310500;3103906;1642762;100000;3256391008
Duplicados;QuickSort;1940;1940251;1940251300;328311466;145073;100000;3256391008
Duplicados;HeapSort;34;34545;34545800;2812048;1446768;100000;3256391008
escenario;algoritmo;ms;us;ns;comparaciones;intercambios;n;semilla
Aleatorio;QuickSort;27;27376;27376100;2725369;678254;100000;297289968
Aleatorio;HeapSort;41;41959;41959500;3019663;1574769;100000;297289968
Ascendente;QuickSort;29617;29617804;29617804000;4999950000;0;100000;297289968
Ascendente;HeapSort;37;37553;37553600;3112517;1650854;100000;297289968
Descendente;QuickSort;29569;29569510;29569510800;5000000000;50000;100000;297289968
Descendente;HeapSort;35;35669;35669700;2926640;1497434;100000;297289968
Casi ordenado;QuickSort;59;59283;59283400;5009789293;100774;100000;297289968
Casi ordenado;HeapSort;38;38314;38314000;3103781;1642754;100000;297289968
Duplicados;QuickSort;2963;2963055;2963055200;501682980;134233;100000;297289968
Duplicados;HeapSort;33;33853;33853400;2764253;1419100;100000;297289968
