escenario;algoritmo;ms;us;ns;comparaciones;intercambios;n;semilla
Aleatorio;QuickSort;2;2334;2334000;205485;53100;10000;1147070048
Aleatorio;HeapSort;2;2128;2128300;235542;124320;10000;1147070048
Ascendente;QuickSort;99;99489;99489800;49995000;0;10000;1147070048
Ascendente;HeapSort;1;1585;1585700;244460;131956;10000;1147070048
Descendente;QuickSort;96;96218;96218100;50000000;5000;10000;1147070048
Descendente;HeapSort;1;1870;1870900;226682;116696;10000;1147070048
Casi ordenado;QuickSort;2;2091;2091600;50986045;8636;10000;1147070048
Casi ordenado;HeapSort;1;1707;1707200;243507;130836;10000;1147070048
Duplicados;QuickSort;9;9125;9125600;4259251;14431;10000;1147070048
Duplicados;HeapSort;1;1655;1655700;220569;114357;10000;1147070048
